capitulo,articulo,contenido
CAPÍTULO III,Artículo 17," Los comités de apoyos educativos en cada uno de los campus estarán integrados por al menos cinco participantes, representando a las áreas académicas y administrativas o de asuntos estudiantiles según sea el caso. Entre sus funciones principales está la revisión, evaluación y dictamen de asignación de la beca o el préstamo educativo de cada solicitante.   "
CAPÍTULO III,Artículo 18," Las combinaciones de porcentajes de beca y de préstamo educativo se otorgan con base en:  1.	La disponibilidad del presupuesto del campus en cada periodo académico. 2.	El cumplimiento de los criterios definidos en este reglamento para cada uno de los programas de becas y préstamos educativos.  Para el caso de la beca socioeconómica, las combinaciones de porcentaje de beca y préstamo educativo son establecidas por la Vicerrectoría de Innovación Educativa y Normatividad Académica. "
CAPÍTULO III,Artículo 19," El Comité de Becas y Apoyos Educativos del campus dará a conocer el resultado de la solicitud de la beca o préstamo educativo a cada solicitante en el sistema oficial establecido para ese propósito, en la fecha límite del calendario oficial establecido por la Vicerrectoría de Innovación Educativa y Normatividad Académica, siempre que el solicitante sea un alumno admitido y cumpla con los requisitos establecidos. "
CAPÍTULO III,Artículo 20, El Comité Nacional de Líderes del Mañana publicará en el sistema de registro los resultados de la convocatoria y solicitará a los campus ponerse en contacto con el estudiante para informarle el resultado de su solicitud. 
CAPÍTULO III,Artículo 21," Para el otorgamiento de becas, los comités de apoyos educativos evaluarán la petición de apoyo de los solicitantes con base en los siguientes criterios, los cuales serán imparciales y directamente relacionados, según corresponda, con la capacidad académica del solicitante, así como con sus talentos atléticos, artísticos, de liderazgo, creativas y de emprendimiento:  1.	Programa de Becas Socioeconómicas: se otorga con recursos del campus y con base en la situación económica familiar comprobada del alumno solicitante. Dicha necesidad determina la franquicia de beca o préstamo educativo asignada. 2.	Programa de Becas al Talento Académico, Programa de Becas al Talento Estudiantil (actividades artísticas, atléticas y de liderazgo) Programa de Becas al Talento Emprendedor y Programa de Becas al Talento Creativo:    se otorgan con recursos del campus sin tomar en cuenta la necesidad económica del alumno solicitante. 3.	Programa de Becas Socioeconómicas para Alumnos Extranjeros: se otorgan con recursos del campus a los solicitantes de nacionalidad distinta a la mexicana tomando en cuenta la necesidad económica comprobada del alumno solicitante. Los solicitantes deben contar con la forma migratoria correspondiente y tener menos de 5 años viviendo en México. "
CAPÍTULO III,Artículo 22," Un alumno de PrepaTec que ya tiene asignada una beca socioeconómica y desea continuar sus estudios profesionales en cualquier campus, su beca sigue siendo válida y ese porcentaje se convierte en la combinación de beca y préstamo educativo. Las condiciones requeridas son:  a.	Contar con un promedio acumulado mínimo de 85/100 en su certificado de estudios. b.	Firmar la carta de aceptación del apoyo en la fecha estipulada y cumplir los requisitos descritos en la misma. "
CAPÍTULO III,Artículo 23," Un alumno de PrepaTec que ya tiene asignada una beca socioeconómica y desea continuar sus estudios profesionales en cualquier campus, puede solicitar un incremento del apoyo educativo para lo cual debe contar con un promedio acumulado mínimo de 85/100 en su certificado de estudios; requieren realizar una solicitud de apoyo educativo, la cual incluye realizar el pago de la cuota establecida para cubrir el costo administrativo del proceso. "
CAPÍTULO III,Artículo 24," Los solicitantes egresados de PrepaTec, que ya tienen asignada una beca socioeconómica y desean continuar sus estudios profesionales en cualquier campus, deberán confirmar en las fechas definidas como exclusivas y preferenciales para alumnos de PrepaTec la aceptación de la beca y de las condiciones establecidas en el Artículo 22. Posterior a esa fecha, los alumnos podrán solicitar el apoyo, tomando en cuenta que el otorgamiento no estará garantizado, ya que estarán aplicando junto con alumnos externos y la asignación estará sujeta al presupuesto del campus. "
CAPÍTULO III,Artículo 25," Una vez asignados los apoyos educativos (beca, préstamo educativo o combinación de ambos), el solicitante debe confirmar que acepta el apoyo    educativo otorgado mediante la realización del pago del anticipo de colegiatura, a más tardar, 5 días hábiles posteriores a la fecha del dictamen; de lo contrario, se dará por cancelado el apoyo asignado.  Los alumnos a los cuales se les ha asignado un porcentaje de préstamo educativo requieren realizar el proceso de formalización con base en los procedimientos definidos, de lo contrario el apoyo será cancelado. "
CAPÍTULO III,Artículo 26," Las becas del programa al talento académico y las del programa al talento estudiantil asignadas en preparatoria no podrán ser renovadas automáticamente en profesional, aunque, un alumno puede solicitar nuevamente estos tipos de apoyos siguiendo los procesos establecidos. "
CAPÍTULO III,Artículo 27, En condiciones especiales se podrá considerar la transferencia de un alumno beneficiado con una beca del Programa de Becas Líderes del Mañana a otro campus del Tecnológico de Monterrey. El alumno deberá dirigir una carta con exposición de motivos para que ambos campus tomen una decisión al respecto. Los gastos inherentes a la vivienda y alimentación de los alumnos que se transfieran no están considerados en la beca. 
CAPÍTULO III,Artículo 28," Un becario puede conservar su beca al transferirse de un campus a otro. Una vez autorizada la transferencia por el director de becas del campus al que desea transferirse y del director de becas de su campus actual, el expediente del alumno se transfiere al campus receptor.  En el caso del Programa al Talento Estudiantil, los becarios en actividades artísticas y de liderazgo, podrán conservar su beca al transferirse de un campus a otro, siempre que su transferencia sea propuesta por el Director de Liderazgo y Formación Estudiantil y cuente con autorización del Comité Nacional de Becas al Talento Estudiantil. Los becarios en actividades atléticas no podrán conservar su beca al transferirse de un campus a otro. "
CAPÍTULO III,Artículo 29," Los programas de becas aplican también en periodos intensivos, siempre que los alumnos beneficiados cumplan los requisitos de conservación de la beca.   "
CAPÍTULO III,Artículo 30," Los alumnos beneficiados por el Programa de Becas Líderes del Mañana podrán solicitar sobrecarga académica a partir del cuarto semestre, siempre y cuando no hayan reprobado materias o unidades de formación de más de 3 créditos académicos o su equivalente en unidades académicas y mantengan un promedio mayor o igual a 85/100. La solicitud deberá de presentarse por escrito ante el Departamento de Becas y Apoyos Educativos de su campus y contar con la autorización del director de carrera. "
CAPÍTULO III,Artículo 31," Los alumnos beneficiados con los programas de becas podrán participar en programas de intercambio internacional, siempre que: cumplan con los requisitos académicos del programa y el convenio de colaboración con la institución extranjera incluya que los costos de colegiatura deben ser cubiertos en el Tecnológico de Monterrey. Adicionalmente, podrán participar en el programa del Diploma Internacional. Los alumnos beneficiados con algún tipo de beca otorgada por el Tecnológico de Monterrey, -que aplique para estudiar en el extranjero- deben inscribir, en la institución extranjera, únicamente materias que se puedan revalidar en su plan de estudios. Para aquellos alumnos beneficiados con algún tipo de beca, que participen en los programas de doble titulación con universidades extranjeras mediante un convenio autorizado por el Tecnológico de Monterrey, y en Programas Internacionales que por definición duren un año, podrán contar con el beneficio de dicha beca. En el caso de alumnos con becas de fondos externos estarán sujetos a las políticas y lineamientos establecidos por el fondo."
CAPÍTULO III,Artículo 32,"Cuando por causa de fuerza mayor, un alumno beneficiado con un programa de becas se vea en la necesidad de suspender sus estudios, deberá solicitar el mantenimiento de su beca para un periodo posterior en la Dirección de Apoyos Educativos de su campus. En caso de requerir la extensión por un periodo adicional, deberá entregar una carta dirigía al Comité de Apoyos Educativos quien revisará el caso e informará el dictamen. En el Programa de Líderes del Mañana los casos deberán ser autorizados por el Comité Nacional de Becas de Líderes del Mañana.    En caso de que el alumno suspenda su inscripción sin previo aviso a la Dirección de Apoyos Educativos, su beca será cancelada. En todos los casos, su readmisión está sujeta al reglamento de admisión vigente. "
CAPÍTULO III,Artículo 33," En caso de que un alumno requiera un incremento de apoyo por necesidad económica, podrá solicitarlo a través del procedimiento establecido para ello. En caso de autorizarse, se otorgará un complemento con préstamo educativo.  Un alumno con una beca socioeconómica asignada podrá solicitar un incremento de apoyo educativo en caso de tener una necesidad económica familiar comprobada diferente a la reportada inicialmente, siguiendo el procedimiento establecido para ello.  Sin embargo, no se incrementa el apoyo educativo en ningún programa de becas por desempeño académico, por desarrollo del talento estudiantil o por cualquier otro tipo de desarrollo de talento. "
CAPÍTULO III,Artículo 34, Los campus podrán llevar a cabo una actualización del estatus socioeconómico a los alumnos en cualquier momento para comprobar la situación económica de la familia y decidir si se continúa otorgando el mismo porcentaje total de apoyo educativo. 
CAPÍTULO III,Artículo 35," Un alumno podrá solicitar un préstamo educativo temporal, siempre que demuestre tener una necesidad económica excepcional (pérdida de empleo, incapacidad temporal, etc.). En este caso, la duración máxima del apoyo será de un semestre. El alumno solicitante debe llenar una solicitud de apoyo educativo en línea y seguir el proceso completo, incluyendo el pago de la cuota establecida para cubrir el costo del proceso. El préstamo educativo temporal aplica solamente para alumnos del nivel de profesional. "
CAPÍTULO III,Artículo 36," Un egresado de una carrera profesional que solicite algún tipo de apoyo para cursar otra carrera profesional, no es candidato a recibir dicho apoyo.   "
CAPÍTULO III,Artículo 37," La beca cubre el número de créditos establecidos para el programa académico, y únicamente para programas con créditos adicionales, tales como: Diploma del Programa U-LEAD y Diploma Internacional.                                 "
CAPÍTULO IV,Artículo 38," Los requisitos que debe cumplir un solicitante de beca en el Programa de Becas Socioeconómicas de primer ingreso a PrepaTec son los siguientes:  1.	Llenar una solicitud de apoyos educativos en línea y seguir el proceso completo, incluyendo el pago de la cuota establecida para cubrir el costo administrativo del proceso. 2.	Contar con un promedio acumulado mínimo en sus estudios de secundaria de 85/100 y obtener 1050 puntos en la última edición de la Prueba de Aptitud Académica, o el puntaje equivalente con ediciones anteriores autorizadas por la Institución. "
CAPÍTULO IV,Artículo 39," Los requisitos que debe cumplir un solicitante de beca en el Programa de Becas Socioeconómicas egresado de PrepaTec que ingresa al nivel de profesional son los siguientes:  1.	Llenar una solicitud de apoyos educativos en línea y seguir el proceso completo, incluyendo el pago de la cuota establecida para cubrir el costo administrativo del proceso. 2.	Contar con un promedio acumulado mínimo en su certificado en estudios de preparatoria de 85/100. "
CAPÍTULO IV,Artículo 40," Los requisitos que debe cumplir un solicitante de beca en el Programa de Becas Socioeconómicas para Alumnos Extranjeros de primer ingreso al nivel de profesional son los siguientes:  1.	Llenar una solicitud de apoyo educativo en línea y seguir el proceso com- pleto, incluyendo el pago de la cuota establecida para cubrir el costo ad- ministrativo del proceso. 2.	Contar con un promedio acumulado mínimo en su certificado de estudios de preparatoria de 85/100 y obtener 1300 puntos en la última edición de    la Prueba de Aptitud Académica, o el puntaje equivalente con ediciones anteriores autorizadas por la Institución. "
CAPÍTULO IV,Artículo 41," Un alumno de reingreso, que no cuente con un apoyo educativo, solo podrá aplicar al Programa de Becas Socioeconómicas.  Los requisitos que debe cumplir un solicitante de beca en el Programa de Becas Socioeconómicas para alumnos de reingreso en los niveles de preparatoria y profesional son los siguientes:  1.	Llenar una solicitud de apoyo educativo en línea y seguir el proceso completo, incluyendo el pago de la cuota establecida para cubrir el costo administrativo del proceso. 2.	Contar con un promedio acumulado mínimo en su plan de estudios de 85/100, siempre y cuando curse en el periodo de solicitud de beca, al menos, una carga académica de 32 unidades o 12 créditos académicos. "
CAPÍTULO IV,Artículo 42," Los requisitos que debe cumplir un solicitante de beca en el Programa de Becas Socioeconómicas de primer ingreso al nivel de profesional proveniente de preparatorias que no formen parte del Tecnológico de Monterrey son los siguientes:  1.	Llenar una solicitud de apoyo educativo en línea y seguir el proceso completo, incluyendo realizar el pago de la cuota establecida para cubrir el costo administrativo del proceso. 2.	Contar con un promedio acumulado mínimo en su certificado de estudios de preparatoria de 85/100 y obtener 1300 puntos en la última edición de la Prueba de Aptitud Académica, o el puntaje equivalente con ediciones anteriores autorizadas por la Institución. "
CAPÍTULO IV,Artículo 43," Los requisitos que debe cumplir un solicitante en la convocatoria del Programa de Becas Líderes del Mañana son los siguientes:  1.	Registrar su solicitud a través del sitio web del Tecnológico de Monterrey en la convocatoria al Programa de Becas Líderes del Mañana. 2.	Realizar las pruebas definidas en el programa y que encontrará en la página web antes mencionada.    3.	Contar con el promedio acumulado de calificaciones finales de preparatoria mayor o igual a 90/100 y obtener un puntaje mayor o igual a 1360 puntos en puntos en la última edición de la Prueba de Aptitud Académica, o el puntaje equivalente con ediciones anteriores autorizadas por la Institución. 4.	Demostrar tener 100% de necesidad de apoyo económico para cubrir la colegiatura de nivel profesional en el Tecnológico de Monterrey. 5.	Demostrar evidencias de su perfil de liderazgo y de sensibilidad social a través de los proyectos en los que haya participado. 6.	Ser seleccionado en la Convocatoria de Líderes del Mañana por obtener mayor promedio de calificaciones, mayor puntaje en la Prueba de Aptitud Académica, contar con un perfil de liderazgo y de sensibilidad social y demostrar necesidad económica para cursar una carrera profesional en el Tecnológico de Monterrey.  Los solicitantes que participan en este programa están exentos del pago de cuota de solicitud de apoyo educativo. "
CAPÍTULO IV,Artículo 44," Los requisitos que debe cumplir un solicitante en la convocatoria del Programa de Becas al Talento Académico son los siguientes: 1.	Ser admitido al periodo académico al que corresponde la convocatoria vigente. 2.	Registrar su solicitud en la convocatoria al Programa de Becas al Talento Académico a través del sitio web del Tecnológico de Monterrey a más tardar en la fecha límite establecida. 3.	Obtener en la primera aplicación vigente de la última edición de la Prueba de Aptitud Académica un puntaje igual o superior a 1360 para profesional y 1130 para preparatoria, o el puntaje equivalente con ediciones anteriores autorizadas por la Institución. 4.	Obtener un promedio de calificaciones mayor o igual a 90/100 en el ciclo escolar anterior de acuerdo a las bases de la convocatoria definidas en la página web mencionada en el inciso 2. 5.	Realizar el pago del anticipo de colegiatura en la fecha establecida en la convocatoria vigente. 6.	Ser seleccionado en la Convocatoria de Programa de Becas al Talento Académico por obtener mayor promedio de calificaciones y mayor puntaje en la Prueba de Aptitud Académica. 7.	Cursar al menos un semestre en el campus que asignó la beca.   "
