InvoiceNo,Description
536369,"Invoice Number: 536369, Stock code: 21756, Description: BATH BUILDING BLOCK WORD, Quantity: 3, Invoice Date: 01/12/2010 at: 08:35, Unit Price: 5.95, Customer ID: 13047, Country: United Kingdom"
536370,"Invoice Number: 536370, Stock code: 22728, Description: ALARM CLOCK BAKELIKE PINK, Quantity: 24, Invoice Date: 01/12/2010 at: 08:45, Unit Price: 3.75, Customer ID: 12583, Country: France"
536370,"Invoice Number: 536370, Stock code: 22727, Description: ALARM CLOCK BAKELIKE RED , Quantity: 24, Invoice Date: 01/12/2010 at: 08:45, Unit Price: 3.75, Customer ID: 12583, Country: France"
536370,"Invoice Number: 536370, Stock code: 22726, Description: ALARM CLOCK BAKELIKE GREEN, Quantity: 12, Invoice Date: 01/12/2010 at: 08:45, Unit Price: 3.75, Customer ID: 12583, Country: France"
536370,"Invoice Number: 536370, Stock code: 21724, Description: PANDA AND BUNNIES STICKER SHEET, Quantity: 12, Invoice Date: 01/12/2010 at: 08:45, Unit Price: 0.85, Customer ID: 12583, Country: France"
536370,"Invoice Number: 536370, Stock code: 21883, Description: STARS GIFT TAPE , Quantity: 24, Invoice Date: 01/12/2010 at: 08:45, Unit Price: 0.65, Customer ID: 12583, Country: France"
536370,"Invoice Number: 536370, Stock code: 10002, Description: INFLATABLE POLITICAL GLOBE , Quantity: 48, Invoice Date: 01/12/2010 at: 08:45, Unit Price: 0.85, Customer ID: 12583, Country: France"
536370,"Invoice Number: 536370, Stock code: 21791, Description: VINTAGE HEADS AND TAILS CARD GAME , Quantity: 24, Invoice Date: 01/12/2010 at: 08:45, Unit Price: 1.25, Customer ID: 12583, Country: France"
536370,"Invoice Number: 536370, Stock code: 21035, Description: SET/2 RED RETROSPOT TEA TOWELS , Quantity: 18, Invoice Date: 01/12/2010 at: 08:45, Unit Price: 2.95, Customer ID: 12583, Country: France"
536370,"Invoice Number: 536370, Stock code: 22326, Description: ROUND SNACK BOXES SET OF4 WOODLAND , Quantity: 24, Invoice Date: 01/12/2010 at: 08:45, Unit Price: 2.95, Customer ID: 12583, Country: France"
536370,"Invoice Number: 536370, Stock code: 22629, Description: SPACEBOY LUNCH BOX , Quantity: 24, Invoice Date: 01/12/2010 at: 08:45, Unit Price: 1.95, Customer ID: 12583, Country: France"
536370,"Invoice Number: 536370, Stock code: 22659, Description: LUNCH BOX I LOVE LONDON, Quantity: 24, Invoice Date: 01/12/2010 at: 08:45, Unit Price: 1.95, Customer ID: 12583, Country: France"
536370,"Invoice Number: 536370, Stock code: 22631, Description: CIRCUS PARADE LUNCH BOX , Quantity: 24, Invoice Date: 01/12/2010 at: 08:45, Unit Price: 1.95, Customer ID: 12583, Country: France"
536370,"Invoice Number: 536370, Stock code: 22661, Description: CHARLOTTE BAG DOLLY GIRL DESIGN, Quantity: 20, Invoice Date: 01/12/2010 at: 08:45, Unit Price: 0.85, Customer ID: 12583, Country: France"
536370,"Invoice Number: 536370, Stock code: 21731, Description: RED TOADSTOOL LED NIGHT LIGHT, Quantity: 24, Invoice Date: 01/12/2010 at: 08:45, Unit Price: 1.65, Customer ID: 12583, Country: France"
536370,"Invoice Number: 536370, Stock code: 22900, Description:  SET 2 TEA TOWELS I LOVE LONDON , Quantity: 24, Invoice Date: 01/12/2010 at: 08:45, Unit Price: 2.95, Customer ID: 12583, Country: France"
536370,"Invoice Number: 536370, Stock code: 21913, Description: VINTAGE SEASIDE JIGSAW PUZZLES, Quantity: 12, Invoice Date: 01/12/2010 at: 08:45, Unit Price: 3.75, Customer ID: 12583, Country: France"
536370,"Invoice Number: 536370, Stock code: 22540, Description: MINI JIGSAW CIRCUS PARADE , Quantity: 24, Invoice Date: 01/12/2010 at: 08:45, Unit Price: 0.42, Customer ID: 12583, Country: France"
536370,"Invoice Number: 536370, Stock code: 22544, Description: MINI JIGSAW SPACEBOY, Quantity: 24, Invoice Date: 01/12/2010 at: 08:45, Unit Price: 0.42, Customer ID: 12583, Country: France"
536370,"Invoice Number: 536370, Stock code: 22492, Description: MINI PAINT SET VINTAGE , Quantity: 36, Invoice Date: 01/12/2010 at: 08:45, Unit Price: 0.65, Customer ID: 12583, Country: France"
536370,"Invoice Number: 536370, Stock code: POST, Description: POSTAGE, Quantity: 3, Invoice Date: 01/12/2010 at: 08:45, Unit Price: 18, Customer ID: 12583, Country: France"
536371,"Invoice Number: 536371, Stock code: 22086, Description: PAPER CHAIN KIT 50'S CHRISTMAS , Quantity: 80, Invoice Date: 01/12/2010 at: 09:00, Unit Price: 2.55, Customer ID: 13748, Country: United Kingdom"
536372,"Invoice Number: 536372, Stock code: 22632, Description: HAND WARMER RED POLKA DOT, Quantity: 6, Invoice Date: 01/12/2010 at: 09:01, Unit Price: 1.85, Customer ID: 17850, Country: United Kingdom"
536372,"Invoice Number: 536372, Stock code: 22633, Description: HAND WARMER UNION JACK, Quantity: 6, Invoice Date: 01/12/2010 at: 09:01, Unit Price: 1.85, Customer ID: 17850, Country: United Kingdom"
536373,"Invoice Number: 536373, Stock code: 85123A, Description: WHITE HANGING HEART T-LIGHT HOLDER, Quantity: 6, Invoice Date: 01/12/2010 at: 09:02, Unit Price: 2.55, Customer ID: 17850, Country: United Kingdom"
536373,"Invoice Number: 536373, Stock code: 71053, Description: WHITE METAL LANTERN, Quantity: 6, Invoice Date: 01/12/2010 at: 09:02, Unit Price: 3.39, Customer ID: 17850, Country: United Kingdom"
536373,"Invoice Number: 536373, Stock code: 84406B, Description: CREAM CUPID HEARTS COAT HANGER, Quantity: 8, Invoice Date: 01/12/2010 at: 09:02, Unit Price: 2.75, Customer ID: 17850, Country: United Kingdom"
536373,"Invoice Number: 536373, Stock code: 20679, Description: EDWARDIAN PARASOL RED, Quantity: 6, Invoice Date: 01/12/2010 at: 09:02, Unit Price: 4.95, Customer ID: 17850, Country: United Kingdom"
536373,"Invoice Number: 536373, Stock code: 37370, Description: RETRO COFFEE MUGS ASSORTED, Quantity: 6, Invoice Date: 01/12/2010 at: 09:02, Unit Price: 1.06, Customer ID: 17850, Country: United Kingdom"
536373,"Invoice Number: 536373, Stock code: 21871, Description: SAVE THE PLANET MUG, Quantity: 6, Invoice Date: 01/12/2010 at: 09:02, Unit Price: 1.06, Customer ID: 17850, Country: United Kingdom"
536373,"Invoice Number: 536373, Stock code: 21071, Description: VINTAGE BILLBOARD DRINK ME MUG, Quantity: 6, Invoice Date: 01/12/2010 at: 09:02, Unit Price: 1.06, Customer ID: 17850, Country: United Kingdom"
536373,"Invoice Number: 536373, Stock code: 21068, Description: VINTAGE BILLBOARD LOVE/HATE MUG, Quantity: 6, Invoice Date: 01/12/2010 at: 09:02, Unit Price: 1.06, Customer ID: 17850, Country: United Kingdom"
536373,"Invoice Number: 536373, Stock code: 82483, Description: WOOD 2 DRAWER CABINET WHITE FINISH, Quantity: 2, Invoice Date: 01/12/2010 at: 09:02, Unit Price: 4.95, Customer ID: 17850, Country: United Kingdom"
536373,"Invoice Number: 536373, Stock code: 82486, Description: WOOD S/3 CABINET ANT WHITE FINISH, Quantity: 4, Invoice Date: 01/12/2010 at: 09:02, Unit Price: 6.95, Customer ID: 17850, Country: United Kingdom"
536373,"Invoice Number: 536373, Stock code: 82482, Description: WOODEN PICTURE FRAME WHITE FINISH, Quantity: 6, Invoice Date: 01/12/2010 at: 09:02, Unit Price: 2.1, Customer ID: 17850, Country: United Kingdom"
536373,"Invoice Number: 536373, Stock code: 82494L, Description: WOODEN FRAME ANTIQUE WHITE , Quantity: 6, Invoice Date: 01/12/2010 at: 09:02, Unit Price: 2.55, Customer ID: 17850, Country: United Kingdom"
536373,"Invoice Number: 536373, Stock code: 84029G, Description: KNITTED UNION FLAG HOT WATER BOTTLE, Quantity: 6, Invoice Date: 01/12/2010 at: 09:02, Unit Price: 3.39, Customer ID: 17850, Country: United Kingdom"
536373,"Invoice Number: 536373, Stock code: 84029E, Description: RED WOOLLY HOTTIE WHITE HEART., Quantity: 6, Invoice Date: 01/12/2010 at: 09:02, Unit Price: 3.39, Customer ID: 17850, Country: United Kingdom"
536373,"Invoice Number: 536373, Stock code: 22752, Description: SET 7 BABUSHKA NESTING BOXES, Quantity: 2, Invoice Date: 01/12/2010 at: 09:02, Unit Price: 7.65, Customer ID: 17850, Country: United Kingdom"
536373,"Invoice Number: 536373, Stock code: 21730, Description: GLASS STAR FROSTED T-LIGHT HOLDER, Quantity: 6, Invoice Date: 01/12/2010 at: 09:02, Unit Price: 4.25, Customer ID: 17850, Country: United Kingdom"
536374,"Invoice Number: 536374, Stock code: 21258, Description: VICTORIAN SEWING BOX LARGE, Quantity: 32, Invoice Date: 01/12/2010 at: 09:09, Unit Price: 10.95, Customer ID: 15100, Country: United Kingdom"
536375,"Invoice Number: 536375, Stock code: 85123A, Description: WHITE HANGING HEART T-LIGHT HOLDER, Quantity: 6, Invoice Date: 01/12/2010 at: 09:32, Unit Price: 2.55, Customer ID: 17850, Country: United Kingdom"
536375,"Invoice Number: 536375, Stock code: 71053, Description: WHITE METAL LANTERN, Quantity: 6, Invoice Date: 01/12/2010 at: 09:32, Unit Price: 3.39, Customer ID: 17850, Country: United Kingdom"
536375,"Invoice Number: 536375, Stock code: 84406B, Description: CREAM CUPID HEARTS COAT HANGER, Quantity: 8, Invoice Date: 01/12/2010 at: 09:32, Unit Price: 2.75, Customer ID: 17850, Country: United Kingdom"
536375,"Invoice Number: 536375, Stock code: 20679, Description: EDWARDIAN PARASOL RED, Quantity: 6, Invoice Date: 01/12/2010 at: 09:32, Unit Price: 4.95, Customer ID: 17850, Country: United Kingdom"
536375,"Invoice Number: 536375, Stock code: 37370, Description: RETRO COFFEE MUGS ASSORTED, Quantity: 6, Invoice Date: 01/12/2010 at: 09:32, Unit Price: 1.06, Customer ID: 17850, Country: United Kingdom"
536375,"Invoice Number: 536375, Stock code: 21871, Description: SAVE THE PLANET MUG, Quantity: 6, Invoice Date: 01/12/2010 at: 09:32, Unit Price: 1.06, Customer ID: 17850, Country: United Kingdom"
536375,"Invoice Number: 536375, Stock code: 21071, Description: VINTAGE BILLBOARD DRINK ME MUG, Quantity: 6, Invoice Date: 01/12/2010 at: 09:32, Unit Price: 1.06, Customer ID: 17850, Country: United Kingdom"
536375,"Invoice Number: 536375, Stock code: 21068, Description: VINTAGE BILLBOARD LOVE/HATE MUG, Quantity: 6, Invoice Date: 01/12/2010 at: 09:32, Unit Price: 1.06, Customer ID: 17850, Country: United Kingdom"
536375,"Invoice Number: 536375, Stock code: 82483, Description: WOOD 2 DRAWER CABINET WHITE FINISH, Quantity: 2, Invoice Date: 01/12/2010 at: 09:32, Unit Price: 4.95, Customer ID: 17850, Country: United Kingdom"
536375,"Invoice Number: 536375, Stock code: 82486, Description: WOOD S/3 CABINET ANT WHITE FINISH, Quantity: 4, Invoice Date: 01/12/2010 at: 09:32, Unit Price: 6.95, Customer ID: 17850, Country: United Kingdom"
536375,"Invoice Number: 536375, Stock code: 82482, Description: WOODEN PICTURE FRAME WHITE FINISH, Quantity: 6, Invoice Date: 01/12/2010 at: 09:32, Unit Price: 2.1, Customer ID: 17850, Country: United Kingdom"
536375,"Invoice Number: 536375, Stock code: 82494L, Description: WOODEN FRAME ANTIQUE WHITE , Quantity: 6, Invoice Date: 01/12/2010 at: 09:32, Unit Price: 2.55, Customer ID: 17850, Country: United Kingdom"
536375,"Invoice Number: 536375, Stock code: 84029G, Description: KNITTED UNION FLAG HOT WATER BOTTLE, Quantity: 6, Invoice Date: 01/12/2010 at: 09:32, Unit Price: 3.39, Customer ID: 17850, Country: United Kingdom"
536375,"Invoice Number: 536375, Stock code: 84029E, Description: RED WOOLLY HOTTIE WHITE HEART., Quantity: 6, Invoice Date: 01/12/2010 at: 09:32, Unit Price: 3.39, Customer ID: 17850, Country: United Kingdom"
536375,"Invoice Number: 536375, Stock code: 22752, Description: SET 7 BABUSHKA NESTING BOXES, Quantity: 2, Invoice Date: 01/12/2010 at: 09:32, Unit Price: 7.65, Customer ID: 17850, Country: United Kingdom"
536375,"Invoice Number: 536375, Stock code: 21730, Description: GLASS STAR FROSTED T-LIGHT HOLDER, Quantity: 6, Invoice Date: 01/12/2010 at: 09:32, Unit Price: 4.25, Customer ID: 17850, Country: United Kingdom"
536376,"Invoice Number: 536376, Stock code: 22114, Description: HOT WATER BOTTLE TEA AND SYMPATHY, Quantity: 48, Invoice Date: 01/12/2010 at: 09:32, Unit Price: 3.45, Customer ID: 15291, Country: United Kingdom"
536376,"Invoice Number: 536376, Stock code: 21733, Description: RED HANGING HEART T-LIGHT HOLDER, Quantity: 64, Invoice Date: 01/12/2010 at: 09:32, Unit Price: 2.55, Customer ID: 15291, Country: United Kingdom"
536377,"Invoice Number: 536377, Stock code: 22632, Description: HAND WARMER RED POLKA DOT, Quantity: 6, Invoice Date: 01/12/2010 at: 09:34, Unit Price: 1.85, Customer ID: 17850, Country: United Kingdom"
536377,"Invoice Number: 536377, Stock code: 22633, Description: HAND WARMER UNION JACK, Quantity: 6, Invoice Date: 01/12/2010 at: 09:34, Unit Price: 1.85, Customer ID: 17850, Country: United Kingdom"
536378,"Invoice Number: 536378, Stock code: 22386, Description: JUMBO BAG PINK POLKADOT, Quantity: 10, Invoice Date: 01/12/2010 at: 09:37, Unit Price: 1.95, Customer ID: 14688, Country: United Kingdom"
536378,"Invoice Number: 536378, Stock code: 85099C, Description: JUMBO  BAG BAROQUE BLACK WHITE, Quantity: 10, Invoice Date: 01/12/2010 at: 09:37, Unit Price: 1.95, Customer ID: 14688, Country: United Kingdom"
536378,"Invoice Number: 536378, Stock code: 21033, Description: JUMBO BAG CHARLIE AND LOLA TOYS, Quantity: 10, Invoice Date: 01/12/2010 at: 09:37, Unit Price: 2.95, Customer ID: 14688, Country: United Kingdom"
536378,"Invoice Number: 536378, Stock code: 20723, Description: STRAWBERRY CHARLOTTE BAG, Quantity: 10, Invoice Date: 01/12/2010 at: 09:37, Unit Price: 0.85, Customer ID: 14688, Country: United Kingdom"
536378,"Invoice Number: 536378, Stock code: 84997B, Description: RED 3 PIECE RETROSPOT CUTLERY SET, Quantity: 12, Invoice Date: 01/12/2010 at: 09:37, Unit Price: 3.75, Customer ID: 14688, Country: United Kingdom"
536378,"Invoice Number: 536378, Stock code: 84997C, Description: BLUE 3 PIECE POLKADOT CUTLERY SET, Quantity: 6, Invoice Date: 01/12/2010 at: 09:37, Unit Price: 3.75, Customer ID: 14688, Country: United Kingdom"
536378,"Invoice Number: 536378, Stock code: 21094, Description: SET/6 RED SPOTTY PAPER PLATES, Quantity: 12, Invoice Date: 01/12/2010 at: 09:37, Unit Price: 0.85, Customer ID: 14688, Country: United Kingdom"
536378,"Invoice Number: 536378, Stock code: 20725, Description: LUNCH BAG RED RETROSPOT, Quantity: 10, Invoice Date: 01/12/2010 at: 09:37, Unit Price: 1.65, Customer ID: 14688, Country: United Kingdom"
536378,"Invoice Number: 536378, Stock code: 21559, Description: STRAWBERRY LUNCH BOX WITH CUTLERY, Quantity: 6, Invoice Date: 01/12/2010 at: 09:37, Unit Price: 2.55, Customer ID: 14688, Country: United Kingdom"
536378,"Invoice Number: 536378, Stock code: 22352, Description: LUNCH BOX WITH CUTLERY RETROSPOT , Quantity: 6, Invoice Date: 01/12/2010 at: 09:37, Unit Price: 2.55, Customer ID: 14688, Country: United Kingdom"
536378,"Invoice Number: 536378, Stock code: 21212, Description: PACK OF 72 RETROSPOT CAKE CASES, Quantity: 120, Invoice Date: 01/12/2010 at: 09:37, Unit Price: 0.42, Customer ID: 14688, Country: United Kingdom"
536378,"Invoice Number: 536378, Stock code: 21975, Description: PACK OF 60 DINOSAUR CAKE CASES, Quantity: 24, Invoice Date: 01/12/2010 at: 09:37, Unit Price: 0.55, Customer ID: 14688, Country: United Kingdom"
536378,"Invoice Number: 536378, Stock code: 21977, Description: PACK OF 60 PINK PAISLEY CAKE CASES, Quantity: 24, Invoice Date: 01/12/2010 at: 09:37, Unit Price: 0.55, Customer ID: 14688, Country: United Kingdom"
