chapter,article,content
CHAPTER IV,Article 4.1," Enrollment will be done, first and foremost, in the most backward training units, in accordance with the order and priority of the same in each semester in the corresponding study plan and in accordance with the supply of courses in the curriculum official studies. "
CHAPTER IV,Article 4.2," The academic credits of an educational unit are defined as the time that a student devotes to a class, inside and outside the classroom, in order to meet its learning objectives.  Academic load is the total number of academic credits in which a student has enrolled in a specific academic period For full-time students, the academic load per semester is 18 academic credits. "
CHAPTER IV,Article 4.3," The following have the right to register:  1.	Those who have been admitted or readmitted by the Admissions Office for the period corresponding to the registration. 2.	Those who, having been a student in the previous semester period, completed it without having been given definitive dismissal or temporary suspension status for academic or disciplinary reasons. 3.	In trimester educational units, those who as students in the area of Health, completed the semester educational units of their program and fulfilled the graduation requirement related to English language proficiency.  It is understood that students who do not complete the enrollment procedures by the deadlines stipulated for this purpose by the Office of the Registrar renounce the right to enroll. These students must apply for readmission when they wish to enter Tecnológico de Monterrey again, in accordance with the regulations and procedures provided       ACADEMIC REGULATIONS FOR UNDERGRADUATE STUDENTS     Students who do not meet the criteria indicated in point 3 can reestablish their right to enroll by means of the process defined by the Office of the Registrar for this purpose. "
CHAPTER IV,Article 4.4," All students must follow the curriculum that is current at the time of their enrollment. Students who fall behind in their curriculum will be subject to the modifications and academic implications that may have been adopted in the corresponding curriculum.  Students enrolled in eight-semester programs must complete their curriculum within seven years, and Students enrolled in nine- or ten-semester programs must complete their curriculum within eight years, as of the date on which they enrolled for the first time in such curriculum. If by the end of this term they need to continue with their studies, they must change to the new curriculum to assure academic continuity. To this end, the following provisions are considered:  a.	Courses from the previous curriculum that are equivalent and for which credit has been earned will be valid. b.	The academic standing obtained by the students in the previous curriculum will be maintained. c.	The calculation of the student’s academic standing in the new edition of the curriculum will not take into account educational units for which credit was not earned in the previous curriculum. "
CHAPTER IV,Article 4.5," In order to enroll in any educational unit, students must comply with the academic requirements established for the same. "
CHAPTER IV,Article 4.6," The maximum academic overload for students in a semester is 3 academic credits, considering that in a 5-week period, they cannot exceed 7 academic credits.            "
CHAPTER IV,Article 4.7, The academic load in trimester periods for clinical practice in the Health Sciences degrees is governed by its own internal regulations authorized by the Office of the Academic and Educational Innovation Vice Rector. 
CHAPTER IV,Article 4.8, The maximum academic load in which a student can enroll in intensive periods is 7 academic credits. 
CHAPTER IV,Article 4.9," Students can drop one or several educational units in which they are enrolled, except for the evaluation and feedback type of Tec Week semester academic periods or intensive periods, before the last day of classes of the educational unit to withdraw, as established by the corresponding School Calendar. Dropped educational units will not be recorded as failed.  If students apply to drop all their educational units, must include the evaluation and feedback type of Tec Week they must carry out an admission process again, in which their academic records will be taken into consideration for the decision. The process related to dropping educational units will be executed in accordance with the administrative policies and procedures defined by the Office of the Registrar for this purpose. "
CHAPTER IV,Article 4.10," For students enrolled in an exploration area to be considered an undergraduate degree students, they must apply for registration in accordance with the procedure established by the Office of the Registrar. In addition, in order to be considered as a concentration students, defined as an option in their undergraduate degree, students must submit their application in the semester prior to the ne in which it starts to the Office of the Registrar. "
CHAPTER IV,Article 4.11," Tecnológico de Monterrey can issue, at the request of the student, partial certificates of studies. Partial certificates include the educational units passed by students up to the semester, trimester, summer or winter they officially completed.     El periodo semestral concluye oficialmente con el registro de calificaciones finales en la unidad de formación de la Semana 18. The semester period officially concludes with the registration of final grades in the educational unit of Week 18.                               "
CHAPTER V,Article 5.1, The assessment of students’ academic performance must be effected according to the learning objectives of the educational unit and carried out in each of the educational units continuously during the development of the learning activities. Both the content of the educational units and competency proficiency are included in these evaluations. The results of the evaluations in the learning activities of the educational unit will lead to a final grade. 
CHAPTER V,Article 5.2," The assessment of students’ academic performance is effected continuously during the development of the learning activities. There are also initial evaluations, comprehensive competency evaluations, make-up exams, institutional exams, regularization exams and evaluations by external organizations determined by Tecnológico de Monterrey, which have been established to assess the level of student learning. "
CHAPTER V,Article 5.3," At the beginning of the period, faculty must post and inform students of the assessment plan for the educational unit and of the possible impact academic integrity violations, of absences and infringements.  The results of the evaluations must be supported by evidence defined by faculty.  If students have a query about a final grade or level of competency proficiency, they must first consult with their professor and, if necessary, request clarification according to the procedure defined for this purpose by the Office of the Registrar. "
CHAPTER V,Article 5.4," Student learning assessment must consider the content and competencies of the educational unit and have the following characteristics:  1.	It must be performed for each educational unit.        2.	It is performed through diverse evaluation instruments, applied to learning evidence, such as: projects, challenges or activities designed by faculty to evaluate student performance in the educational unit. 3.	The evaluation grade from the evaluation must be supported by physical and digital evidence. "
CHAPTER V,Article 5.5," Faculty must report the students’ educational unit grades and absences, in accordance with the procedures established by the Office of the Registrar within the periods set by this Office, and report in the official systems students’ level of proficiency in the competencies associated with the educational unit. "
CHAPTER V,Article 5.6," Curricula are defined in three stages. A competency assessment is performed in each stage and has the following characteristics:  1.	It is compulsory, with no exemptions for any student. 2.	It is performed according to the levels of competency proficiency that should have been achieved, by the student in the corresponding stage. 3.	The result of the assessment for each stage takes into account the level of competency proficiency demonstrated in the educational units for which credit has been awarded, up to the educational level being evaluated. . 4.	The result of the assessment performed in the third stage shows the stu- dents’ level of proficiency in the disciplinary competencies in their curricu- lum and, where appropriate, fulfillment of the graduation requirement for their program. "
CHAPTER V,Article 5.7," The grade scale is in whole numbers from one to one hundred and must be used for all assessments of student performance in the educational units and in the final grade for the educational unit. The following non-numerical grades can also be assigned:  1.	IN Grade (Incomplete). The final evaluation of an educational unit can be left pending and the provisional grade IN will be reported to the Office of the Registrar for educational units in which: a.	Research work is conducted and progress in this work’s schedule is incomplete given the nature of the work or owing to causes beyond the student’s control.       b.	Work is conducted with physical resources whose availability is limited or beyond the control of the student. c.	Students’ progress is determined by a comprehensive evaluation by a School.  The IN grade must be modified by the professor responsible for the educational unit at the end of the semester or trimester. In the case of points a and b, the IN grade must be modified by the professor responsible for the educational unit no later than the last day of classes of the following semester or trimester, assigning a numerical grade.  In order to assign this grade, the professor needs the endorsement of his/her Department Director. The IN grade is not considered a failing grade for the purposes of grade average calculation or for the student’s academic standing.  2.	SC Grade (No Grade). The SC grade (No grade) will be used by the Office of the Registrar when, due to reasons of force majeure, the professor does not submit the final grades by the deadline. The educational unit professor must assign a numerical grade no later than 48 hours after the final grade submission deadline. The SC grade is not taken into consideration for grade average calculation purposes.  3.	NP Grade (Absent from Exam). The NP grade must be assigned as a final grade by the educational unit professor when a student has failed to complete an element declared to be relevant in the evaluation plan of the educational unit. This grade will be equivalent to a numerical grade of 1 (one) on a scale of 1 to 100, for grade average calculation purposes. The NP grade can be replaced by a numerical grade in accordance with the final grade review policies provided herein.  4.	A Grade (Passing Grade). A grade A (Passing Grade) is assigned in the following cases:  1.	In the educational units in which students have obtained a revalidation or equivalency agreement for studies completed at another university. 2.	In the educational units in which they enrolled as a result of a credit transfer process, as stipulated in article 3.1. 3.	In the educational units for which credit has been earned by means of proficiency exams, as stipulated in article 3.8. 4.	In the introductory educational units for which credit has been earned by means of the procedures stipulated in article 1.5.        The A grade is not taken into consideration for grade average calculation purposes.  5.	SA Grade (Tec Week Passing Grade). The SA grade (Tec Week Passing Grade) is assigned in the Tec Week educational units in which students are enrolled, as long as they meet the pass requirements established in their evaluation. The SA grade is not taken into consideration for grade average calculation purposes.  6.	SN Grade (Tec Week Failing Grade). The SN grade (Tec Week Failing Grade) is assigned in the Tec Week educational units in which students are enrolled and do not meet the pass requirements established in their evaluation.The SN grade is not taken into consideration for grade average calculation purposes, but will be considered for academic-status purposes as a credit. "
CHAPTER V,Article 5.8," The level of competency proficiency defined in the educational units and in the curriculum exit competencies is evaluated using the standards established for this purpose at the Institution: A, B, C, with C being the highest level of proficiency.  The level obtained in the program competencies will be included in the student’s transcript. When students do not obtain the level of competency proficiency established in each educational unit, the level of proficiency included in the student’s transcript will be N (Competency Not Observed).  The levels of proficiency in a language are evaluated using the standards established by the Common European Framework of Reference for Languages: A1 (Beginner); A2 (Elementary); B1 (Pre-intermediate); B2 (Intermediate); C1 (Advanced); C2 (Expert).  The level of proficiency obtained in the English language tests authorized by the Institution will be included in the student’s transcript. "
CHAPTER V,Article 5.9," In order to pass an educational unit, students must complete it, comply with the evaluation plan and obtain a final passing grade, which must be equal to or higher than seventy. Students can also pass the educational units if:        1.	They have obtained a revalidation or equivalency agreement for studies completed at another university, in which case an “A” grade (Passing Grade) will be assigned. 2.	They have enrolled by means of a credit transfer process. 3.	The curriculum stipulates that they can earn credit by means of proficiency exams, in which case an “A” grade (Passing Grade) will be assigned. 4.	They take a regularization exam, for which they will be assigned the grade obtained as long as it is greater than or equal to seventy.  Any educational unit is deemed failed if the student:  1.	Obtains a grade lower than 70. 2.	Obtains a final failing grade as a consequence of an academic integrity violation, in accordance with the provisions of Chapter IX herein. 3.	Obtains NP as a final grade. "
CHAPTER V,Article 5.10," Students can request a review of the final grade or level of competency proficiency in the educational units or level of competency proficiency in the stages, by means of the procedure defined for this purpose by the Office of the Registrar. The request must be made in writing.  This request will be sent by the Office of the Registrar to the Department Director, Division Director, or the equivalent, as appropriate, in order to form a committee that will review and resolve the issue of the final grade or the level of competency mastery.  The right to request a review expires five business days after the last day established on the academic calendar for reporting final grades or level of competency proficiency; or five business days after they have been reported and posted, whichever occurs later. The final grade or level of competency proficiency are final and cannot be appealed after being reviewed.  The right expressed in this article does not apply to the cases in which the final failing grade is linked to an academic integrity violation on the part of the student.              "
CHAPTER V,Article 5.11," A regularization exam is offered only once, in a single educational unit, when passing the same is the only academic requirement pending for a student to have the right to be awarded the corresponding undergraduate degree.  In addition, students lose the right to a regularization exam if they have been sanctioned with “Conditional Standing for Academic Integrity Violations”, in the educational unit in question.  Students can take this exam as of the last day of the final exams of the academic period in which they satisfactorily completed the educational units included in the degree’s curriculum, except for the educational unit for which the regularization exam is being requested, up to the last day of classes of the following semester. If students do not take the evaluation within this period, they must study the last educational unit of their curriculum.  The regularization exam will be designed and graded by a committee made up of at least two faculty members, designated by the corresponding academic department director, and will include all the learning objectives of the educational unit in question.  The Office of the Registrar will issue the authorization for the regularization exam at the request of the interested student, and will indicate the date and time set for taking the exam.  If students fail the regularization exam, they must study the last educational unit of their curriculum.  The Schools can establish educational units, which include learning activities in laboratories, workshops, clinics, projects or seminars, for which regularization exams cannot be granted. This information will be communicated to students in writing at the start of the educational unit.  Students who have completed an academic program and wish to obtain an undergraduate degree in another program can take the regularization exam for           each academic program in which they enroll, as long as they fully comply with the provisions of this article for each program. "
CHAPTER V,Article 5.12," Students with an NP grade can request a make-up exam by means of the procedure defined by the Office of the Registrar for this purpose. The request must be made in writing, explaining the reasons for this petition, no later than the third business day after completion of the learning activities of the educational unit. If the make-up exam is authorized, the right to take this exam expires one week before the first day of classes of the following semester. The final grade, which includes the result of the make-up exam, must be recorded before the first day of classes of the following semester.                                                               "
CHAPTER VI,Article 6.1," In order to obtain an undergraduate degree at Tecnológico de Monterrey, students are required to have:  1.	Fulfilled, in accordance with the effective regulations, the academic prerequisites of the corresponding curriculum, by means of the initial evaluation or the introductory-level units. 2.	Completed all the educational units in the corresponding curriculum, including Tec Weeks, either by passing all of them at Tecnológico de Monterrey, or by obtaining revalidation or equivalency agreements, in conformity with the corresponding regulations, for some of the educational units with studies completed at other institutions and passing the remaining educational units at Tecnológico de Monterrey. 3.	Demonstrated the level of proficiency established by the Institution in the competencies defined in their curriculum. 4.	Completed and passed at Tecnológico de Monterrey at least 50% of the academic credits that comprise the curriculum. This rule can be flexible for programs that, through an agreement, are created in conjunction with other universities. 5.	Completed their social service in compliance with the legal precepts in force and the corresponding social service regulations. 6.	Taken the external exam authorized by Educational Innovation and Academic Norms Vice Rector, to evaluate the knowledge and skills acquired during their undergraduate program. This requirement applies solely to students from the undergraduate programs for which these exams exist. The result of this exam will be recorded on the student’s transcript. Students from the undergraduate programs for which this exam does not exist must take the capstone exams designed for this purpose. This requirement applies only to students from the undergraduate degrees for which these exams exist. 7.	Demonstrated a B2 level of proficiency in the English language according to the Common European Framework of References for Languages (CEFR) in one of the tests authorized by the Academic Vice Rectory.      ACADEMIC REGULATIONS FOR UNDERGRADUATE STUDENTS     8.	Fulfilled any additional requirements established in their program and authorized by the Office of the Educational Innovation and Academic Norms Vice Rector. 9.	Students who incur in an academic integrity violation during their final academic period, be it semester, trimester or intensive, must comply with the measures determined by the corresponding Committee, otherwise, through such noncompliance, they will delay their graduation process, as stipulated in Article 9.4.  Graduates can register their undergraduate degree with the Mexican Ministry of Public Education and apply for their professional license for professional practice in Mexico. The degree or professional license must meet additional government or institutional requirements in order to be valid in other countries. "
CHAPTER VI,Article 6.2," Internal transfer students will have the option of choosing whichever campus is most convenient for them to issue their undergraduate degree, and must have studied at such campus at least 36 academic credits from their curriculum. In every case, all the graduation requirements stipulated to issue the degree must have been met. "
CHAPTER VI,Article 6.3," In the case of double-degree academic programs offered by means of agreements with foreign universities, students can obtain an undergraduate degree certificate from Tecnológico de Monterrey and another one from the participating foreign institutions, as long as the legal and academic requirements stipulated for double degrees by the participating institutions are met. The undergraduate degree certificate from Tecnológico de Monterrey received by students from the participating foreign university will serve only for academic purposes and, therefore, they cannot apply for the registration or issue of a professional license in Mexico. "
CHAPTER VI,Article 6.4," To obtain an undergraduate concentration certificate, students must:  1.	Fulfill all the graduation requirements. 2.	Not have incurred in a disciplinary violation, the result of which explicitly indicates the loss of the distinction.        3.	Fulfill  all  the  requirements  of  the  corresponding  undergraduate concentration program. "
CHAPTER VI,Article 6.5," To obtain an international diploma, students must:  1.	Fulfill all the graduation requirements. 2.	Not have incurred in a disciplinary violation, the result of which explicitly indicates the loss of the distinction. 3.	Fulfill all the requirements established in the International Program.                                                                "
CHAPTER VII,Article 7.1," Tecnológico de Monterrey confers the following distinctions to students whose academic performance is excellent:  1.	“Honors” to the top 10% of students from each class of each program, as long as they have obtained a final grade average equal to or higher than 90 in their curriculum educational units and are not being awarded Highest Honors. 2.	“Highest Honors” to a subgroup of the students mentioned in the previous point who have obtained a final grade average on their curriculum courses equal to or higher than 95, have not failed any of their curriculum educational units and are among the top five percent of those graduating from their undergraduate program in relation to the cumulative average for their curriculum.  The final grade average for the curriculum does not take into account the grades obtained in the introductory-level educational units, recorded in the introduction semester section, in accordance with the provisions of the Office of the Academic and Educational Innovation Vice Rector. "
CHAPTER VII,Article 7.2," In order to be awarded honors or highest honors, candidates must meet these requirements:  1.	Fulfill all the graduation requirements, as well as the criteria defined in"
CHAPTER VII,Article 7.1.,2.	Not have committed a disciplinary offence that explicitly indicates the loss of this honor in the resolution. 3.	Not have been given “Conditional Standing for Academic Integrity Violations.”         
CHAPTER VII,Article 7.3," Students who completed part of their studies at another institution can be awarded Honors or Highest Honors if they can demonstrate having a grade average equal to or higher than 90 for studies completed at an institution other than Tecnológico de Monterrey and also a grade average equal to or higher than 90 for studies completed at Tecnológico de Monterrey, as long as they meet the requirements for each of these distinctions.                               "
CHAPTER VIII,Article 8.1,"Academic standing is defined as students’ status based on their final grades. Students can have the following types of academic standing:  1.	Regular 2.	Conditional 3.	Conditional for Academic Integrity Violations 4.	Academic Dismissal 5.	Dismissal for Academic Integrity Violations  Details of academic integrity violations are addressed in Chapter IX herein.  The calculation of academic standing defined in this chapter does not take into account the grades obtained in the introductory-level educational units, recorded in the introduction semester section, in accordance with the provisions of the Office of the Academic and Educational Innovation Vice Rector. "
CHAPTER VIII,Article 8.2," Students will have Regular academic standing as long as their status is not Conditional, Academic Support, Academic Dismissal or Dismissal for Academic Integrity Violation.  Students with Regular Standing will have no academic impediments to reenrolling at any Tecnológico de Monterrey campus. "
CHAPTER VIII,Article 8.3," Regular standing changes to Conditional when, at the end of an academic period, students incur in any of the following situations regarding the number of academic credits failed in the educational units:  1.	Twelve or more academic credits.        2.	Nine or more academic credits in a semester academic period.  The results of all the educational units including Tec Weeks, completed by students will be taken into account, even if they have changed degrees or exploration areas. The results of the educational units completed by students in all the academic periods, including intensive periods, will be taken into account, with the exception of introductory-level educational units recorded in the introduction semester section, in accordance with the provisions of the Office of the Educational Innovation and Academic Norms Vice Rector.  To determine this standing for students from the School of Medicine and Health Sciences, two trimester periods will be deemed equivalent to one semester academic period. "
CHAPTER VIII,Article 8.4," Students with Conditional standing:  1.	Must enroll in and comply with the guidelines of the Academic Improvement Program established by the Office of the Academic and Educational Innovation Rector. 2.	Will no longer have this standing and will become Regular students when they pass all the educational units in which they were enrolled during the last semester academic period, as long as they have not accumulated 18 or more failed academic credits, in which case Conditional standing will remain throughout their undergraduate level studies. "
CHAPTER VIII,Article 8.5," Students who have been sanctioned by the Campus Academic Integrity Committee, in accordance with Chapter IX herein, will acquire Conditional Standing for Academic Integrity Violations. When students acquire Conditional Standing for Academic Integrity Violations, their continuation at the Institution will depend on refraining from committing another academic integrity violation that warrants such status. Conditional Standing for Academic Integrity Violations will last until the termination of the level of studies in question, and will prevent the student from being awarded any academic honors.            "
CHAPTER VIII,Article 8.6," Students will have Academic Dismissal standing when they incur in any of the following statuses:  1.	They have Conditional standing and do not enroll in or comply with the guidelines of the Academic Improvement Program. 2.	They fail 24 or more academic credits before earning credit for fifty percent of the credits of an exploration area and/or undergraduate degree in which they are enrolled. 3.	Fail 30 or more academic credits.  To calculate the academic units failed, all the educational units completed by students, including Tec Weeks, even if they have changed degree or exploration area. The results of the educational units considered are those completed by students in all the academic periods, including the intensive periods, with the exception of the introductory-level educational units of the introduction semester section, in accordance with the provisions of the Office of the Academic and Educational Innovation Vice Rector.  To determine this standing for students from the School of Medicine and Health Sciences, two trimester periods will be deemed equivalent to one semester academic period.  It students have Academic Dismissal standing at the same time as Conditional standing, Academic Dismissal will apply. "
CHAPTER VIII,Article 8.7," Students with Academic Dismissal standing can be readmitted if they acquired this standing during the academic period in which, if they had passed all their educational units, they would have concluded the curriculum of their program. This case will be judged by a committee whose structure and process is defined by the Office of the Academic and Educational Innovation Vice Rector. This committee’s decision can be:  1.	Immediate readmission to the Institution. 2.	Postponed readmission to the Institution. 3.	Ratification of Academic Dismissal at the undergraduate.         "
CHAPTER VIII,Article 8.8," For students who do not reenroll consecutively in the semester or trimester academic periods and/or apply to withdraw from all their educational units, and are readmitted, the failed educational units accumulated at the undergraduate level will be considered, together with their advancement in the degree to which they have been readmitted, with the exception of students who have received an undergraduate degree at Tecnológico de Monterrey and wish to study a second undergraduate degree. In the latter cases, on being admitted to the second degree, only the failed educational units that are equivalent in the new undergraduate degree or exploration area will be considered.  If students are enrolled in more than one undergraduate degree or exploration area and have Conditional or Academic Dismissal Standing, such standing will apply to all the undergraduate degrees or exploration areas in which they are enrolled.                                                          "
CHAPTER IX,Article 9.1," Academic integrity means acting in an honest, committed, reliable, responsible, fair and respectful manner in learning, research and cultural diffusion. Academic integrity violations are considered to be any individual or collective action or omission committed by students, inside or outside the classroom, which violates the principles of academic integrity and/or seeks to facilitate an academic benefit or advantage. Some examples of these wrongful actions or omissions are: copying or attempted copying in any type of exam or learning activity; total or partial plagiarism; facilitating any activity or material so that it can be copied and/or presented as the student’s own; identity theft; accessing and/or managing, without express authorization, institutional email accounts or systems; falsifying information; tampering with academic documents; selling or buying exams or distributing them by any means; wrongfully removing or obtaining information or stealing information or attempting to bribe a faculty member or any collaborator at the Institution; and wrongfully altering clinical records, among other actions.  The examples set forth in the previous paragraph are illustrative but not exhaustive. "
CHAPTER IX,Article 9.2," Any student, faculty member, institutional authority, member of the educational community or external entities linked to the academic process, who are aware of any act that could constitute an academic integrity violation must inform the Campus Academic Integrity of the same through the channels assigned for this purpose, including all the information and evidence available at the time of the report and that demonstrate the event. The Campus Academic Integrity Commit- tee will analyze the case and notify the reported student of the process and the possible consequences.            "
CHAPTER IX,Article 9.3," Academic integrity violations will be dealt with as follows:  1.	When students commit a violation of academic integrity, their professor will assign a failing grade in the corresponding academic activity, module, or final grade of the educational unity. When the failing grade is assigned to a final grade for an educational unit delivered by a team of professors there must be mutual agreement among the professors who deliver the same. The failing grade assigned by the professor is final and cannot be appealed, and is in addition to the consequences determined by the Campus Academic Integrity Committee. 2.	Once the violation has been identified, the professor will inform the student of the situation, assign the failing grade, and report the violation to the Campus Academic Integrity Committee. To this end, the professor must describe the situation, indicate the failing grade assigned, and attach the available evidence. 3.	The Campus Academic Integrity Committee will analyze the case, determine the gravity of the violation and the applicable sanction. When the Committee deems that, owing to its gravity, the violation warrants probation, temporary suspension or definitive dismissal, it informs the student of the initiation of the procedure and calls the student to an audience in which he or she can contribute evidence and express anything he or she deems to be in his or her favor. "
CHAPTER IX,Article 9.4," The consequences that can be determined by the Campus Academic Integrity Committee can be any of the following:  a.	Formative measure: activities whose purpose is to encourage the student to reflect on what happened, thereby developing his or her ethical conscience and providing tools for making ethical decisions in difficult circumstances. If the student does not complete the formative measure under the terms and in the periods set by the Committee, the consequence will be probation status for the academic integrity violation. b.	Formative measure in the final period: this is a consequence applicable to students who are graduation candidates and have incurred in academic integrity violations, implying that the student will delay the graduation process until he or she has completed the formative measures determined by the Academic Integrity Committee. Students who fulfill the measure in        due time and form can continue with their graduation process; otherwise, their noncompliance could delay such process for two academic periods, be they semester, trimester or intensive, without exceeding one calendar year. c.	Probation Status for Academic Integrity Violations: An academic condition through which the students is subject to no committing another integrity violation throughout the remainder of his or her studies, since any reoffence could affect his or her continuance at the Institution. This status is recorded in the student’s transcript and has the following implications: 1.	It prevents the students from receiving honors upon graduation. 2.	Probation status remains on the student’s transcripts and is valid until he or she completes the current level of studies. 3.	The students loses the right to take the regularization exam for the class in which the integrity violation occurred. d.	Probation and temporary suspension: this implies, apart from probation with the characteristics described in the previous point, the student’s separation from the institution for 1 to 4 academic periods, be they semester, trimester or intensive, without exceeding one calendar year. During this period, the student must fulfill the accompaniment plan indicated by the Campus Academic Integrity Committee in order to apply for reincorporation into the institution, maintaining the probation status for academic integrity violations. e.	Definitive withdrawal: consists of the separation of the student from the Institution in all its campuses or locations, during the level of studies that they are studying or permanently. "
